Price;Boat Type;Manufacturer;Condition ;Fuel ;Length;Width;Material;Country;City
EUR 7500;Sport Boat;Ultramar power boats;Used boat;;5.5;2.45;PVC;France; Saint-Quay-Portrieux
EUR 7500;Cabin Boat;Yachting France power boats;Used boat;;6.4;2.54;GRP;France; Côte d'Azur
EUR 7500;Center console boat;B2 Marine power boats;Used boat;;5.23;2.15;PVC;France; Saint Quay Portrieux
EUR 7500;Sport Boat;Volvo power boats;Used boat;;5.8;2.28;GRP;Germany; Baden-Württemberg
EUR 7500;Catamaran;;Used boat;;4.4;3.0;;Netherlands;
EUR 8790;Sport Boat;Fiberline power boats;new boat from stock;;4.4;1.65;;Germany; Bayern
CHF 9400;Sport Boat;Sunseeker power boats;Used boat;;5.85;2.3;GRP;Switzerland; Lake Constance
EUR 8600;Sport Boat;Mingolla power boats;Used boat;;5.0;2.1;;Italy; Lake Garda
EUR 8600;Sport Boat;Allegra power boats;new boat from stock;;5.3;2.2;;Italy; Lake Garda
CHF 9265;Sport Boat;Karel power boats;new boat on order;;4.8;1.9;GRP;Switzerland; Lake of Zurich
CHF 9200;Sport Boat;Beekmann power boats;Used boat;;5.18;2.18;GRP;Switzerland; 8881 Tscherlach
EUR 8500;Deck Boat;Salmeri Boote power boats;new boat from stock;;5.53;2.18;;Italy; Lago
EUR 8500;Runabout;;Used boat;;4.0;1.62;GRP;Slovenia; Ljubljana
EUR 8500;Center console boat;B2 Marine power boats;Used boat;;5.0;1.98;;France; HENDAYE
EUR 8500;Center console boat;Allegra power boats;Used boat;;5.3;2.2;GRP;Italy; Lombardia - Trentino Alto Adige
EUR 8500;Sport Boat;Sunbird power boats;Used boat;;5.74;2.31;PVC;France; Chalon-sur-Saône
EUR 8500;Pilothouse;Jeanneau power boats;Used boat;;5.8;2.5;PVC;France; 29200 BREST
EUR 8500;Sport Boat;Hellwig power boats;Used boat;;3.1;1.4;GRP;Germany; Kelheim
EUR 8500;Center console boat;Janmor power boats;Used boat;;5.3;2.33;;France; GRANVILLE
EUR 8500;Deck Boat,Pilothouse,Sport Boat;;Used boat;;7.9;2.5;Aluminium;Germany; Mosel
