Price;Boat Type;Manufacturer;Condition ;Fuel ;Length;Width;Material;Country;City
EUR 228975;Bowrider;Frauscher power boats;new boat from stock;;8.67;2.49;GRP;Switzerland; Lake Constance
EUR 228000;Motor Yacht;Bénéteau power boats;Used boat;;13.7;3.99;;Croatia (Hrvatska); Novigrad
EUR 228000;Pontoon Boat;Performance power boats;Used boat;;11.8;3.0;GRP;Italy; Gardasee
DKK 1695000;Trawler;Bénéteau power boats;Used boat;;13.6;4.17;GRP;Denmark; Nordsjælland
CHF 246000;Pilothouse;Ranieri International power boats;new boat from stock;;11.5;3.0;GRP;Switzerland; Bielersee
EUR 227500;Hardtop;Marex power boats;Used boat;;9.99;3.3;GRP;Netherlands; Bestboats Roermond
EUR 226840;Motor Yacht;Viper power boats;new boat from stock;;9.8;3.0;GRP;Germany;2
DKK 1682900;Hardtop;Bavaria power boats;new boat from stock;;11.66;3.59;;Denmark; Abværft
DKK 1680000;Motor Yacht;Motiva power boats;Used boat;;13.18;3.74;Steel;Denmark; Vinter hal i Kappelen nord tyskland efter med RM.
EUR 225000;Motor Yacht;Princess power boats;Used boat;;15.41;4.22;;Italy; Friuli Venezia Giulia
EUR 225000;Sport Boat;Cantieri di Sarnico power boats;Used boat;;17.15;4.54;GRP;Italy; Liguria
EUR 225000;Flybridge;Cranchi power boats;Used boat;;15.72;4.3;;Greece; Griechenland
EUR 225000;Sport Boat;Rivers and Tides power boats;new boat from stock;;6.8;2.07;Wood;Austria; Linz
EUR 225000;Motor Yacht;Bavaria power boats;Used boat;;10.8;3.59;;Netherlands; Limburg
EUR 225000;Motor Yacht;Condor Yachting power boats;Used boat;;17.5;5.0;Steel;France; France 
EUR 225000;House Boat,Motor Yacht,Trawler;Hollandia power boats;Used boat;;14.3;4.45;Steel;Sweden; Askersund 
EUR 225000;Flybridge;Jeanneau power boats;Used boat;;14.85;4.36;GRP;Croatia (Hrvatska);
EUR 224916;Hardtop;Bénéteau power boats;Used boat;;12.55;3.85;PVC;France; ARCACHON
EUR 224890;Sport Boat;Frauscher power boats;Used boat;;8.67;2.25;;Spain; Mallorca
EUR 224500;Trawler;;Used boat;;28.55;5.02;Steel;Netherlands; Omgeving Leeuwarden
EUR 224391;Hardtop;Jeanneau power boats;Used boat;;10.44;3.32;PVC;France; LA ROCHELLE
EUR 224200;Motor Yacht;Azimut power boats;Used boat;;14.33;4.4;GRP;Spain; Santa Margarita
EUR 224000;Pilothouse;Nimbus power boats;Used boat;;9.85;3.25;GRP;Switzerland; Lake Constance
EUR 223129;Motor Yacht;Parker power boats;new boat from stock;;11.2;3.6;GRP;Germany; Nordrhein-Westfalen
EUR 223125;Motor Yacht;Parker power boats;new boat from stock;;11.3;3.63;GRP;Germany; AB WERFT
EUR 222900;Motor Yacht;Sea Ray power boats;new boat from stock;;10.31;3.25;GRP;Germany; Hamburg
DKK 1657500;Motor Yacht;Sessa power boats;new boat from stock;;11.7;3.75;GRP;Denmark; Frankrig
EUR 221459;Motor Yacht;Greenline power boats;new boat from stock;;9.99;3.49;GRP;Germany; AB WERFT
£ 201792;Hardtop;Jeanneau power boats;new boat from stock;;10.03;3.07;;United Kingdom; Swanwick
EUR 220388;Motor Yacht;Jeanneau power boats;new boat from stock;;10.56;3.32;GRP;Germany;2
CHF 238050;Cabin Boat;Q-Yachts power boats;new boat from stock;;9.3;2.2;GRP;Switzerland; Lake of Zurich
EUR 220000;Flybridge;Azimut power boats;Used boat;;13.0;4.0;GRP;Italy; Sardegna
EUR 220000;Flybridge;Princess power boats;Used boat;;13.68;4.17;GRP;Portugal; LISBOA
EUR 220000;Classic,Flybridge;Cantieri di Pisa power boats;Used boat;;27.0;6.68;Wood;Italy; Mar Tirreno
EUR 220000;Flybridge;Princess power boats;Used boat;;17.99;4.57;;Italy; Friuli Venezia Giulia
EUR 220000;Hardtop;Atlantis power boats;Used boat;;14.88;4.45;;Italy; Lazio
EUR 220000;Motor Yacht;Sea Ray power boats;Used boat;;16.76;4.66;GRP;Turkey; Istanbul
EUR 220000;Hardtop;Atlantis power boats;Used boat;;14.57;4.25;;Italy; Adriatic Sea
EUR 220000;Center console boat;Rhea power boats;Used boat;;10.6;3.15;PVC;France; Bénodet
EUR 220000;Hardtop;Bénéteau power boats;Used boat;;12.9;3.99;GRP;Italy; Lazio
EUR 220000;Hardtop;Absolute power boats;Used boat;;14.3;4.2;GRP;Italy; Liguria
EUR 220000;Motor Yacht;Bavaria power boats;Used boat;;11.0;3.0;GRP;Croatia (Hrvatska); Dalmatia
EUR 219900;Motor Yacht;Sunseeker power boats;Used boat;;14.76;4.2;GRP;Spain; Mallorca
£ 199999;Motor Yacht;Sunseeker power boats;Used boat;;17.28;4.6;GRP;Spain; Palmanova
£ 199990;Cabin Boat;Sunseeker power boats;Used boat;;18.5;4.59;GRP;Spain; Mallorca
EUR 219500;Trawler;ReLine power boats;Used boat;;12.25;4.15;Steel;Netherlands; Verkoophaven IJsseldelta Marina Hattem
EUR 219500;Motor Yacht;Pacific power boats;Used boat;;16.0;4.75;Steel;Netherlands; In verkoophaven
EUR 219500;Trawler;;Used boat;;14.5;4.7;Steel;Netherlands; Lemmer
EUR 219500;Trawler;Vri-Jon power boats;Used boat;;13.9;4.2;Steel;Netherlands; in onze showroom
EUR 219500;Motor Yacht;Wider power boats;Used boat;;13.27;3.32;;Netherlands;
EUR 219500;Trawler;Concordia power boats;Used boat;;14.5;4.7;Steel;Netherlands; Op aanvraag - Auf Anfrage - On request
EUR 219000;Motor Yacht;Princess power boats;Used boat;;14.88;4.01;GRP;Croatia (Hrvatska); INFO BOOTE RIEDL TROGIR
EUR 219000;Flybridge;Azimut power boats;Used boat;;14.0;4.0;GRP;Croatia (Hrvatska); Kvarner
EUR 219000;Hardtop;Sessa power boats;new boat from stock;;11.4;3.45;GRP;Italy; Toscana
EUR 219000;Motor Yacht;;Used boat;;24.21;5.39;Steel;Germany; Nordsee
EUR 219000;Motor Yacht;;Used boat;;24.21;5.39;Steel;Germany; Ems
EUR 219000;Motor Yacht;Fairline power boats;Used boat;;15.7;4.22;;Italy; Friuli Venezia Giulia
EUR 219000;Hardtop;Giorgi power boats;Used boat;;15.6;4.2;;Italy; Friuli-Venezia Giulia
EUR 219000;Motor Yacht;;Used boat;;14.6;4.65;;Italy; Aprilia Marittima di Latisana (UD)
EUR 219000;Hardtop;Absolute power boats;Used boat;;12.7;4.1;GRP;Spain; Costa Blanca
EUR 219000;Sport Boat;Bénéteau power boats;new boat from stock;;9.95;3.35;PVC;France; PORT LEUCATE
EUR 219000;Trawler;Smelne power boats;Used boat;;12.77;4.15;Steel;Netherlands; In verkoophaven
EUR 219000;Pilothouse;Bénéteau power boats;new boat on order;;11.0;3.5;;Germany; Baden-Württemberg
EUR 219000;Motor Yacht;Linssen power boats;Used boat;;13.2;4.35;Steel;Germany; Berlin
EUR 219000;Motor Yacht;Sunseeker power boats;Used boat;;16.13;4.44;GRP;Germany; Neustadt i.H.
EUR 219000;Motor Yacht;Fairline power boats;Used boat;;15.2;3.94;GRP;Netherlands; On request
EUR 219000;Hardtop;Giorgi power boats;Used boat;;15.4;4.2;GRP;Italy;
EUR 219000;Motor Yacht;Sunseeker power boats;Used boat;;16.13;4.44;GRP;Germany; Ostsee
EUR 219000;House Boat;Nautilus power boats;Used boat;;10.9;3.6;Plastic;Germany; Malchow
EUR 219000;House Boat;;Used boat;;10.9;3.6;;Germany; Müritz
EUR 219000;Motor Yacht;Nimbus power boats;Used boat;;10.07;3.25;GRP;Netherlands; Flevoland
EUR 219000;Flybridge;Ferretti power boats;Used boat;;13.3;4.34;;Greece;
EUR 219000;Hardtop;Bavaria power boats;Used boat;;11.95;4.21;;Italy; Marche - Umbria
EUR 215000;Trawler;;Used boat;;16.05;4.8;Steel;Netherlands; In verkoophaven
EUR 215000;Motor Yacht;Solare power boats;Used boat;;12.5;4.2;GRP;Italy; Mar Tirreno
EUR 215000;Motor Yacht;Jeanneau power boats;Used boat;;11.98;4.16;GRP;Spain; Alicante
EUR 215000;Flybridge;Ferretti power boats;Used boat;;13.98;4.5;;Italy; Nord Adria
EUR 215000;Motor Yacht;Dellapasqua power boats;Used boat;;15.98;4.22;GRP;Italy; Sizilien
EUR 215000;Hardtop;Jeanneau power boats;Used boat;;10.56;3.32;PVC;France; LA GRANDE MOTTE
EUR 215000;Motor Yacht;Nimbus power boats;Used boat;;9.35;2.95;GRP;Germany; Ausstellungshalle Traben-Trarbach
EUR 215000;Flybridge;Carnevali power boats;Used boat;;14.9;4.7;GRP;Italy; Puglia
EUR 215000;Flybridge;Prestige Yachts power boats;Used boat;;14.55;4.36;PVC;France; CAPBRETON
EUR 215000;Pilothouse;Jeanneau power boats;new boat from stock;;9.94;3.37;GRP;Italy; Liguria
EUR 215000;Center console boat;;Used boat;;15.4;4.25;GRP;Italy; Campania
EUR 215000;Flybridge;Bénéteau power boats;Used boat;;11.37;3.9;PVC;France; Deauville
EUR 215000;Flybridge;Sealine power boats;Used boat;;12.9;4.21;PVC;Spain; Alcudia
EUR 215000;Motor Yacht;Sunseeker power boats;Used boat;;17.57;4.8;GRP;Italy; Calabria
EUR 215000;Flybridge;Jeanneau power boats;Used boat;;14.55;4.36;GRP;Portugal; Lisbon
EUR 215000;Motor Yacht;Jeanneau power boats;Used boat;;10.56;3.27;PVC;France; BORMES LES MIMOSAS
EUR 215000;Motor Yacht;Ferretti power boats;Used boat;;13.3;4.34;GRP;Germany; Brandenburg
EUR 215000;Sport Boat;AXOPAR power boats;Used boat;;11.2;3.3;PVC;France; 29200 BREST
EUR 215000;Motor Yacht;Tiara power boats;Used boat;;13.66;4.56;GRP;Italy; Liguria
EUR 214900;Motor Yacht;Bénéteau power boats;new boat from stock;;9.95;3.32;PVC;France; MARTIGUES
DKK 1595000;Motor Yacht;Nord West power boats;Used boat;;11.9;3.7;;Denmark; Kolding
DKK 1595000;Motor Yacht;Bénéteau power boats;Used boat;;13.6;4.25;GRP;Denmark; Süddänemark
CHF 229900;Motor Yacht;Linssen power boats;Used boat;;10.78;3.35;Steel;Switzerland; Lake Constance
EUR 214000;Trawler;Pedro power boats;new boat from stock;;10.3;3.4;Steel;Netherlands; In verkoophaven
EUR 214000;Motor Yacht;Azimut power boats;Used boat;;14.91;4.42;GRP;Croatia (Hrvatska);
EUR 214000;Hardtop;Jeanneau power boats;Used boat;;11.47;3.62;PVC;Belgium; Ophoven
EUR 214000;Motor Yacht;Broom power boats;Used boat;;12.8;4.25;GRP;Netherlands; Flevoland
EUR 213900;Motor Yacht;Bénéteau power boats;new boat from stock;;9.95;3.35;GRP;Germany; Flensburg
£ 195000;Hardtop;Swordsman power boats;Used boat;;12.14;3.51;PVC;United Kingdom; Burnham-on-Crouch
EUR 213600;Motor Yacht;Fiart Mare power boats;new boat on order;;10.4;3.68;PVC;France;
EUR 213000;Motor Yacht;Innovazione&Progetti power boats;Used boat;;14.0;4.0;GRP;Croatia (Hrvatska); Dalmatia
EUR 213000;Motor Yacht;Fairline power boats;Used boat;;12.0;3.0;GRP;Croatia (Hrvatska); On request
EUR 210000;Motor Yacht;Fairline power boats;Used boat;;12.35;3.65;GRP;Netherlands; Südholland
EUR 210000;Motor Yacht;Faeton power boats;Used boat;;11.93;3.95;GRP;Spain; Murcia
EUR 210000;Flybridge;Jeanneau power boats;Used boat;;13.1;3.8;;Croatia (Hrvatska);
EUR 210000;Flybridge;Cranchi power boats;Used boat;;15.0;4.33;GRP;Portugal; Vilamoura
EUR 210000;Hardtop;Airon Marine power boats;Used boat;;12.98;3.8;GRP;Italy; Campania
EUR 210000;Motor Yacht;Princess power boats;Used boat;;14.81;4.01;GRP;Croatia (Hrvatska);
EUR 210000;Motor Yacht;Siemer power boats;Used boat;;12.6;4.1;Steel;Germany; Potsdam
EUR 210000;Motor Yacht;Marquis power boats;Used boat;;13.41;4.19;GRP;Greece; Athens
EUR 210000;Flybridge;Fairline power boats;Used boat;;14.59;4.3;;Italy; Aprilia Marittima
EUR 210000;Trawler;Bénéteau power boats;Used boat;;9.99;3.53;PVC;France; Théoule sur Mer
EUR 210000;Trawler;Bénéteau power boats;Used boat;;9.99;3.53;PVC;France; Ouistreham
EUR 210000;Hardtop;Jeanneau power boats;Used boat;;10.44;3.0;PVC;United States; Grado
EUR 210000;Trawler;Linssen power boats;Used boat;;14.28;4.7;Steel;France; Port-Saint-Louis-du-Rhône
EUR 210000;Center console boat;Prestige Yachts power boats;Used boat;;11.98;4.16;;Italy; Liguria
EUR 210000;Hardtop;Bavaria power boats;Used boat;;11.66;3.56;GRP;Spain; Mallorca
EUR 210000;Flybridge;Enterprise Marine power boats;Used boat;;12.15;4.1;;Italy; Piemonte
EUR 210000;Hardtop;Dellapasqua power boats;Used boat;;13.97;3.8;GRP;Italy; Lazio
EUR 210000;Flybridge;Abacus power boats;Used boat;;16.18;4.75;GRP;Italy; Lazio
EUR 210000;Sport Boat;Azimut power boats;Used boat;;13.0;4.0;PVC;Portugal; Parchal
EUR 210000;Motor Yacht;;Used boat;;13.97;3.8;;Italy; Adriatic Sea
EUR 210000;Motor Yacht;Bavaria power boats;Used boat;;13.22;3.97;;Italy; Aprilia Marittima di Latisana (UD)
EUR 210000;Cabin Boat;Aquador power boats;new boat from stock;;9.15;3.1;GRP;Germany; Kressbronn
EUR 210000;Motor Yacht;;Used boat;;18.9;5.3;;Greece;
EUR 210000;Flybridge;Bénéteau power boats;Used boat;;11.37;2.85;PVC;France; GRANVILLE
EUR 209999;Hardtop;;Used boat;;13.83;4.41;PVC;Spain; Palma
EUR 209900;Cabin Boat;Jeanneau power boats;new boat from stock;;10.45;3.37;GRP;Germany; Bayern
EUR 209900;Cabin Boat,Hardtop,Motor Yacht;Galeon power boats;Used boat;;10.9;3.35;GRP;Croatia (Hrvatska); Punat 
EUR 209850;Motor Yacht;Viper power boats;new boat from stock;;9.8;3.0;GRP;Germany;2
EUR 209000;Trawler;;Used boat;;13.2;4.55;Steel;Germany; Lübecker Bucht
EUR 209000;Motor Yacht;Elling power boats;Used boat;;13.2;4.25;GRP;Netherlands; In verkoophaven
EUR 209000;Hardtop;Bénéteau power boats;Display Model;;3.35;9.95;GRP;Germany; Baden-Württemberg
EUR 205000;Flybridge;Princess power boats;Used boat;;17.81;4.81;GRP;Portugal; Lisbon
EUR 205000;Hardtop;Princess power boats;Used boat;;14.8;3.95;;Italy; Ligurien
EUR 205000;Hardtop;Atlantis power boats;Used boat;;16.68;4.5;;Italy; Sardegna
EUR 205000;Motor Yacht;Cranchi power boats;Used boat;;14.99;4.3;GRP;Germany; Preveza
EUR 205000;Sport Boat;Bénéteau power boats;new boat from stock;;10.61;3.35;PVC;Spain; Barcelona
EUR 205000;Trawler;;Used boat;;13.0;4.05;Steel;Netherlands; Roermond Bestboats
EUR 204900;Flybridge;Bavaria power boats;new boat from stock;;11.65;3.99;;Italy; Moniga del Garda (BS)
EUR 203900;Cabin Boat;Buster power boats;new boat from stock;;9.47;2.84;Aluminium;Germany; Schleswig-Holstein
EUR 203900;Sport Boat;Jeanneau power boats;new boat from stock;;9.23;2.98;GRP;Germany;2
EUR 203431;Hardtop;Jeanneau power boats;new boat from stock;;10.0;3.0;PVC;Spain; Alicante (Alacant)
CHF 219900;Motor Yacht;Monterey power boats;Used boat;;10.7;3.4;GRP;Switzerland; 3421 Lyssach
CHF 219500;Hardtop;XO Boats power boats;Used boat;;8.6;2.6;Aluminium;Switzerland; Stansstad
DKK 1495000;House Boat;;Used boat;;30.0;5.05;Steel;France; Frankrig
EUR 200516;Motor Yacht;Alfastreet Marine power boats;new boat from stock;;9.84;2.97;GRP;Switzerland; Lake Constance
EUR 200000;Motor Yacht;Sunseeker power boats;Used boat;;14.0;;;Croatia (Hrvatska);
EUR 200000;Motor Yacht;;Diesel;;10.0;2.85;;Germany;
EUR 200000;Motor Yacht;Arcoa power boats;Used boat;;11.93;3.68;;France;
EUR 200000;Motor Yacht;Princess power boats;Used boat;;15.49;4.22;GRP;France; Côte d'Azur
EUR 200000;House Boat;;new boat from stock;;11.99;7.55;;Netherlands; Nieuwbouw
EUR 200000;Hardtop;Conam power boats;Used boat;;15.5;4.5;GRP;Italy; Salerno
EUR 200000;Flybridge;;Used boat;;17.84;5.0;GRP;Italy;
EUR 200000;Motor Yacht;Unica Yacht power boats;Used boat;;12.01;4.25;GRP;Italy; Mar Tirreno
EUR 200000;Motor Yacht;Pursuit power boats;Used boat;;11.09;3.66;GRP;Italy; Mar Tirreno
EUR 200000;Trawler;;Used boat;;12.3;3.7;GRP;Netherlands;
EUR 200000;Flybridge;Portofino Marine power boats;Used boat;;9.94;3.9;GRP;Italy;
EUR 200000;Flybridge;Cranchi power boats;Used boat;;13.8;4.13;PVC;France; ANTIBES
EUR 200000;Flybridge;Azimut power boats;Used boat;;14.93;4.42;PVC;Spain; Alicante (Alacant)
EUR 200000;Flybridge;Carnevali power boats;Used boat;;14.9;4.7;GRP;Italy; Campania
EUR 200000;Hardtop;Sessa power boats;Used boat;;11.33;3.45;GRP;Italy; Mar Tirreno
EUR 200000;Cabin Boat;Greenline power boats;Used boat;;11.0;3.35;GRP;Lithuania; Klaipeda
EUR 200000;Motor Yacht;Tiara power boats;Used boat;;11.9;4.04;GRP;Croatia (Hrvatska);
EUR 199900;Sport Boat;Brabus power boats;Display Model;;9.5;2.5;;United Kingdom; auf Anfrage 
EUR 199900;Hardtop;Jeanneau power boats;Used boat;;10.5;3.35;GRP;Croatia (Hrvatska); Kroatien
EUR 199900;Center console boat;De Antonio Yachts power boats;new boat on order;;10.2;3.4;GRP;Switzerland; Lake Geneva
EUR 199900;Cabin Boat;Gobbi power boats;Used boat;;13.97;4.25;GRP;France; Côte d'Azur
EUR 199900;Trawler;Babro power boats;Used boat;;12.6;4.35;Steel;Netherlands; In verkoophaven
DKK 1485000;Motor Yacht;Storebro power boats;Used boat;;12.03;3.77;;Denmark; Bornholm
EUR 199500;Trawler;;Used boat;;29.57;6.5;Steel;Netherlands; Omgeving Rotterdam
EUR 199500;Motor Yacht;Princess power boats;Used boat;;15.0;4.0;GRP;Croatia (Hrvatska); On request
EUR 199500;House Boat;;Used boat;;18.5;4.52;Steel;Netherlands; Omgeving Aalsmeer
EUR 199500;House Boat;;Used boat;;24.47;4.86;Steel;Netherlands; Omgeving Den Bosch
EUR 199500;Passenger boat;;Used boat;;25.53;5.74;Steel;Netherlands; Omgeving Zwolle
EUR 199500;Sport Boat;Boesch power boats;Used boat;;6.8;2.34;;Austria; Wörthersee
EUR 199000;Flybridge;Princess power boats;Used boat;;17.15;4.57;GRP;Italy; Lignano
EUR 199000;Flybridge;Astondoa power boats;Used boat;;14.0;4.3;GRP;Croatia (Hrvatska);
EUR 199000;Trawler;Pedro power boats;new boat from stock;;9.7;3.5;Steel;Netherlands; In verkoophaven
EUR 199000;Motor Yacht;Conam power boats;Used boat;;16.46;4.3;GRP;Croatia (Hrvatska); INFO BOOTE RIEDL NOVIGRAD
EUR 199000;Trawler;Ijlstervlet power boats;Used boat;;11.85;3.95;Steel;Netherlands; onbekend
EUR 199000;Sport Boat;Nimbus power boats;new boat from stock;;9.35;2.95;GRP;Germany; Info Nautic Yachting
EUR 199000;Fishing Boat;Wellcraft power boats;Used boat;;11.7;4.16;GRP;Croatia (Hrvatska);
EUR 199000;Runabout;Boesch power boats;Used boat;;7.5;2.4;Wood;Austria; Wörthersee
EUR 199000;Hardtop;Galeon power boats;Used boat;;10.9;3.35;GRP;Spain; Mallorca
EUR 199000;Hardtop;Jeanneau power boats;Used boat;;13.3;4.2;;Italy; Aprilia Marittima
EUR 199000;Motor Yacht;Windy power boats;Used boat;;12.7;3.5;;Turkey; Türkei
EUR 199000;Motor Yacht;Fairline power boats;Used boat;;15.79;4.5;GRP;Germany; Mecklenburg-Vorpommern
EUR 199000;Trawler;;Used boat;;13.1;4.1;Steel;Netherlands; In verkoophaven
EUR 199000;Trawler;Pikmeerkruiser power boats;Used boat;;13.9;4.15;Steel;Netherlands; Grou
EUR 199000;Motor Yacht;;Used boat;;13.78;4.4;;Italy; Nord Adria
EUR 199000;Sport Boat;Fjord power boats;Used boat;;11.99;3.99;GRP;Spain; Mallorca
EUR 199000;Flybridge;Astondoa power boats;Used boat;;11.9;3.98;GRP;Spain; Mallorca
EUR 199000;Hardtop;Performance power boats;Used boat;;13.0;3.0;GRP;Croatia (Hrvatska); Istra
EUR 199000;Flybridge;Prestige Yachts power boats;Used boat;;12.15;3.9;PVC;France; LA ROCHELLE
EUR 199000;Sport Boat;Baia power boats;Used boat;;12.57;4.7;GRP;Spain; Ibiza
EUR 199000;Motor Yacht;Bavaria power boats;Used boat;;13.29;3.99;GRP;Germany; Altenkrempe
EUR 199000;Motor Yacht;Knierim Yachtbau power boats;Used boat;;10.3;3.3;GRP;Germany; Hamburg
EUR 199000;Motor Yacht;Lagoon power boats;Used boat;;13.04;6.42;GRP;Netherlands; Jachthaven Cadzand
EUR 199000;Motor Yacht;Riva power boats;Used boat;;10.68;2.65;;Germany; Berlin
EUR 199000;Motor Yacht;Jeanneau power boats;Used boat;;10.56;3.32;PVC;Croatia (Hrvatska); Split
EUR 199000;Hardtop;Nimbus power boats;Used boat;;10.42;3.1;GRP;Germany; Lübecker Bucht
EUR 199000;Catamaran;Leopard power boats;Used boat;;12.0;6.04;GRP;Greece; Gouvia
EUR 199000;Flybridge;Princess power boats;Used boat;;19.8;5.08;GRP;Spain; Alicante
EUR 199000;Flybridge;Pacific power boats;Used boat;;14.3;4.6;Steel;Denmark; Assens
EUR 199000;Trawler;Bénéteau power boats;Used boat;;13.6;4.17;PVC;France; dunkerque
EUR 199000;Flybridge;Prestige Yachts power boats;Used boat;;13.93;4.16;GRP;France; Alpes Maritimes
EUR 199000;Motor Yacht;Galeon power boats;Used boat;;11.2;3.46;GRP;Germany; Berlin
EUR 199000;Motor Yacht;Neptunus power boats;Used boat;;17.2;4.75;;Spain; Mittelmeer Spanisches Festland
EUR 199000;Motor Yacht;Riva power boats;Used boat;;16.7;4.68;GRP;Italy; Lazio
EUR 199000;Hardtop;Bavaria power boats;new boat from stock;;10.94;3.31;GRP;Germany; Bayern
EUR 198863;Sport Boat;Bénéteau power boats;new boat from stock;;9.63;3.35;PVC;Spain; Hospitalet del Infante
EUR 198500;House Boat;;new boat from stock;;12.0;4.44;Aluminium;Netherlands; Op afspraak | on appointment | auf Termin
EUR 198500;Cabin Boat;Invictus power boats;new boat from stock;;9.97;3.0;GRP;Switzerland; Lake Geneva
EUR 198500;Sport Boat;Invictus power boats;new boat on order;;9.95;3.03;GRP;Switzerland; Lake Constance
EUR 198000;Trawler;Valkkruiser power boats;Used boat;;13.6;4.25;Steel;Netherlands; In verkoophaven
EUR 198000;Motor Yacht;Jeanneau power boats;Used boat;;11.97;3.89;GRP;Germany; Rhein
EUR 198000;Motor Yacht;Jeanneau power boats;Used boat;;11.92;3.89;GRP;Netherlands; Niederlande
EUR 198000;Cabin Boat;Nimbus power boats;new boat on order;;9.35;2.95;GRP;Switzerland; Lake Constance
EUR 198000;Center console boat;Fiart Mare power boats;Used boat;;12.45;4.02;GRP;Italy; Campania
EUR 198000;Trawler;Linssen power boats;Used boat;;10.7;3.4;Steel;Germany; Brandenburg
EUR 198000;Motor Yacht;Sunseeker power boats;Used boat;;14.76;4.2;GRP;Spain; Mallorca
EUR 198000;Flybridge;Cranchi power boats;Used boat;;13.8;4.13;;France;
EUR 198000;Motor Yacht;Princess power boats;Used boat;;15.49;4.22;GRP;Croatia (Hrvatska); Novigrad
EUR 198000;Flybridge;President power boats;Used boat;;15.85;4.2;GRP;Netherlands; regio Breda
EUR 198000;Hardtop;Bavaria power boats;Used boat;;10.8;3.59;GRP;Germany; Barth
EUR 197780;Motor Yacht;Sea Ray power boats;new boat from stock;;8.75;2.74;GRP;Germany; Hamburg
EUR 197540;Sport Boat;;new boat from stock;;9.99;3.3;GRP;Germany; AB WERFT
CHF 211000;Motor Yacht;A. Mostes power boats;Display Model;;10.1;2.76;GRP;Switzerland; Lake of Zurich
EUR 195000;House Boat;;Used boat;;15.0;4.5;Aluminium;Netherlands; In verkoophaven
EUR 195000;Classic,Motor Yacht;;Used boat;;13.8;3.86;Wood;Croatia (Hrvatska); INFO BOOTE RIEDL NOVIGRAD
EUR 195000;Flybridge;Jeanneau power boats;Used boat;;14.33;4.27;GRP;Croatia (Hrvatska); Zadar
EUR 195000;Classic,Runabout;Pedrazzini power boats;Used boat;;7.35;2.4;Wood;Italy; Menaggio Comer See
EUR 195000;Motor Yacht;;Used boat;;14.5;4.25;Steel;Netherlands; Bezichtiging uitsluitend op afspraak
EUR 195000;Trawler;;Used boat;;11.5;3.8;Steel;Netherlands; Warten
EUR 195000;House Boat;;Used boat;;28.65;5.17;Steel;Netherlands; Omgeving Rotterdam
EUR 195000;Motor Yacht;Cranchi power boats;Used boat;;14.99;4.33;GRP;Italy; Veneto
EUR 195000;Motor Yacht;Sunseeker power boats;Used boat;;13.72;3.39;GRP;Spain; Cala d'or
EUR 195000;Trawler;Linssen power boats;Used boat;;12.55;4.2;Steel;Netherlands; In verkoophaven
EUR 195000;Motor Yacht;Apreamare power boats;Used boat;;11.4;3.45;GRP;Italy; Nord Adria
EUR 195000;Flybridge;Azimut power boats;Used boat;;13.29;4.16;PVC;Portugal; Parchal
EUR 195000;Pilothouse;Boston Whaler power boats;Used boat;;8.51;2.9;PVC;France; PORNICHET
EUR 195000;Flybridge;Princess power boats;Used boat;;15.9;4.47;GRP;Croatia (Hrvatska);
EUR 195000;Hardtop;Cranchi power boats;Used boat;;15.01;4.32;GRP;Croatia (Hrvatska);
EUR 195000;Motor Yacht;Bavaria power boats;Used boat;;13.22;4.21;GRP;Spain; Mallorca
EUR 195000;Hardtop;Cranchi power boats;Used boat;;14.99;4.33;GRP;Italy; Campania
EUR 195000;Sport Boat;Sunseeker power boats;Used boat;;13.49;3.63;GRP;Spain; Mallorca
EUR 195000;Cabin Boat;Fjord power boats;Used boat;;11.99;4.0;GRP;France; Côte d'Azur
EUR 195000;Motor Yacht;Absolute power boats;Used boat;;13.7;4.19;;Italy; Aprilia Marittima di Latisana (UD)
EUR 195000;Motor Yacht;Cranchi power boats;Used boat;;15.7;4.35;GRP;Croatia (Hrvatska);
EUR 195000;Sport Boat;Bénéteau power boats;new boat from stock;;9.95;3.32;PVC;France; Antibes
EUR 195000;Motor Yacht;Orskov Skibsvaerft power boats;Used boat;;22.0;5.8;Steel;Germany; Weser
EUR 195000;Flybridge;Ferretti power boats;Used boat;;13.3;4.34;GRP;Croatia (Hrvatska);
EUR 195000;Flybridge;Prestige Yachts power boats;Used boat;;14.55;4.36;PVC;France; ARZON
EUR 195000;Motor Yacht;Sunseeker power boats;Used boat;;15.45;4.51;GRP;Malta; .
EUR 195000;Motor Yacht;Rizzardi power boats;Used boat;;16.2;4.4;;Italy; Salerno
EUR 195000;Motor Yacht;Flipper power boats;new boat from stock;;9.02;3.15;GRP;Finland; Finnland
EUR 195000;Motor Yacht;Bénéteau power boats;Used boat;;15.1;4.49;GRP;Netherlands; onbekend
EUR 195000;House Boat;;new boat from stock;;13.2;4.4;GRP;Poland; Nieuwbouw
EUR 195000;Motor Yacht;Bavaria power boats;Used boat;;14.99;4.41;GRP;Germany; Rhein
EUR 193000;Motor Yacht;Menorquin power boats;Used boat;;12.67;3.96;;Italy; Friuli Venezia Giulia
EUR 193000;Motor Yacht;Absolute power boats;Used boat;;13.7;4.19;;Italy; Aprilia Marittima di Latisana (UD)
EUR 193000;Motor Yacht;Bavaria power boats;Display Model;;10.94;3.31;GRP;Germany; Worms
EUR 192570;Hardtop;Bénéteau power boats;new boat from stock;;10.21;3.49;PVC;France; les sables d olonne
